Course,term,year,department,Enrollment,Workload,Overall
GERMPHIL 200: Middle High German,fall,2014,GERMPHIL,4,5.5,5.0
GHHP 60: Negotiation and Conflict Management: From the Interpersonal to the International,fall,2014,GHHP,32,5.0,4.6
GOV 1008: Introduction to Geographical Information Systems,fall,2014,GOV,37,6.8,3.9
GOV 1010: Survey Research Methods,fall,2014,GOV,21,4.4,3.4
GOV 1019: Basic Mathematics for Social Scientists,fall,2014,GOV,6,2.7,4.4
GOV 1060: Ancient and Medieval Political Philosophy,fall,2014,GOV,25,5.5,4.1
GOV 1074: Political Thought of the American Founding,fall,2014,GOV,49,6.6,4.4
GOV 1243: Russian Politics in Transition,fall,2014,GOV,22,4.1,4.6
GOV 1280: Government and Politics of China,fall,2014,GOV,62,4.4,4.1
GOV 1292: Politics in Brazil,fall,2014,GOV,29,5.0,4.5
GOV 1368: The Politics of American Education,fall,2014,GOV,26,3.4,3.3
GOV 1540: The American Presidency,fall,2014,GOV,133,4.3,4.3
GOV 1730: War and Politics,fall,2014,GOV,52,6.2,4.2
GOV 1780: International Political Economy,fall,2014,GOV,21,6.6,4.2
"GOV 1796: Central Challenges of American National Security, Strategy, and the Press",fall,2014,GOV,13,9.4,4.8
GOV 2000: Introduction to Quantitative Methods I,fall,2014,GOV,31,11.7,3.8
GOV 2002: Topics in Quantitative Methods,fall,2014,GOV,14,5.5,4.9
GOV 2005: Formal Political Theory I,fall,2014,GOV,13,8.9,4.0
"GOV 2034: Ethics Economics, and Law",fall,2014,GOV,8,5.5,4.2
GOV 2082: Marx,fall,2014,GOV,11,4.8,4.7
GOV 20: Foundations of Comparative Politics,fall,2014,GOV,300,6.4,4.2
"GOV 2148: Civil Society, West and East",fall,2014,GOV,14,9.2,4.7
GOV 2305: American Government and Politics: Field Seminar,fall,2014,GOV,5,6.8,2.0
GOV 2474: Approaches to the Study of the US Congress: Models and Methods,fall,2014,GOV,9,3.8,4.2
GOV 2710: International Relations: Field Seminar,fall,2014,GOV,11,10.7,4.1
GOV 3001: Approaches to the Study of Politics,fall,2014,GOV,24,2.9,3.6
GOV 3005: Research Workshop in International Relations,fall,2014,GOV,15,1.7,4.6
GOV 30: American Government: A New Perspective,fall,2014,GOV,62,3.6,3.9
GOV 3100: EJ Safra Graduate Fellowship Seminar,fall,2014,GOV,5,3.0,5.0
GOV 50: Introduction to Political Science Research Methods,fall,2014,GOV,90,4.4,3.5
GOV 92R: Faculty Research Assistant,fall,2014,GOV,11,7.2,4.7
"GOV 94AC: War and Peace: Actors, Institutions and Foreign Policy",fall,2014,GOV,12,5.9,4.5
GOV 94AU: Political Economy,fall,2014,GOV,13,6.1,4.7
"GOV 94CA: Casino Capitalism: Gambling, Finance, and the Ethics of Speculation",fall,2014,GOV,13,5.4,5.0
GOV 94DN: Mapping Social and Environmental Space,fall,2014,GOV,12,5.7,4.6
"GOV 94FG: Presidents, Governors, and Mayors: Chief Executive Power in Comparative Perspective",fall,2014,GOV,7,15.3,5.0
GOV 94FP: The Military Instrument of Foreign Policy,fall,2014,GOV,14,4.7,3.7
GOV 94HA: The Political Science of American Democracy,fall,2014,GOV,16,8.2,4.6
GOV 94IM: Comparative Electoral Systems,fall,2014,GOV,12,5.1,4.4
GOV 94IS: Individual and Society: the psychology of how society affects its citizens,fall,2014,GOV,12,4.3,4.4
GOV 94JB: Secrecy and Transparency,fall,2014,GOV,11,3.2,4.8
GOV 94LE: Liberalism and Empire,fall,2014,GOV,8,4.5,4.4
GOV 94NL: Election Polling and Public Opinion,fall,2014,GOV,6,5.2,4.2
GOV 94OF: Law and Politics in Multicultural Democracies,fall,2014,GOV,12,5.2,4.8
GOV 94PY: Revolution and Politics in Contemporary Iran,fall,2014,GOV,5,8.0,5.0
GOV 94Q: US-Latin American Relations: Seminar,fall,2014,GOV,15,6.1,4.8
GOV 94QA: Community in America,fall,2014,GOV,16,9.1,4.1
GOV 94TD: Tough Transition: Consolidating Democracy under Adverse Circumstances,fall,2014,GOV,7,7.0,4.9
GOV 94XY: Migration and Politics in the Era of Globalization,fall,2014,GOV,12,6.0,4.4
GREEK 106: Greek Tragedy: The Electra Plays,fall,2014,GREEK,4,5.8,5.0
GREEK 201: Reading Greek,fall,2014,GREEK,3,18.0,5.0
GREEK AA: Beginning Greek,fall,2014,GREEK,13,4.5,3.6
GREEK AC: Review and Reading,fall,2014,GREEK,5,8.7,4.4
GREEK BA: Introduction to Attic Prose,fall,2014,GREEK,8,6.4,4.9
GREEK H: Introductory Greek Prose Composition,fall,2014,GREEK,6,4.8,4.6
HAA 137P: The Roman Dinner Party: Proseminar,fall,2014,HAA,10,5.0,4.3
HAA 143R: The Art of the Court of Constantinople: Proseminar,fall,2014,HAA,11,3.0,4.7
HAA 168V: The Vatican,fall,2014,HAA,9,7.2,3.7
HAA 179X: Construction Lab: Conference Course,fall,2014,HAA,11,12.6,5.0
HAA 18K: Introduction to Japanese Art,fall,2014,HAA,25,3.6,4.8
HAA 191X: Books and Things in the Colonial World,fall,2014,HAA,12,4.5,4.6
HAA 224K: Islamic Art Historiography: Concepts and Controversies,fall,2014,HAA,9,5.8,4.4
HAA 22: The Architectural Imagination,fall,2014,HAA,8,3.4,2.6
HAA 242: Issues of Interpretation in Medieval Art: Seminar,fall,2014,HAA,13,7.0,4.6
HAA 270Y: From the Philosophy Chamber: Harvard and the Arts in the Early Republic,fall,2014,HAA,6,10.0,4.5
"HAA 271P: Reading, Drawing, Printing Architecture: Seminar",fall,2014,HAA,8,4.3,4.4
HAA 272E: Painting and Its Discontents: Seminar,fall,2014,HAA,10,7.2,4.7
HAA 272Z: Post WW II European Art (Part II): Seminar,fall,2014,HAA,8,9.8,4.8
HAA 273M: Drawing Operations from Fauvism to the Cut-Outs: Henri Matisse,fall,2014,HAA,11,6.4,4.9
HAA 275W: The Thing,fall,2014,HAA,14,6.6,4.5
HAA 279K: William Kentridge,fall,2014,HAA,6,6.0,4.8
HAA 282K: Art of Indian Esoteric Buddhism,fall,2014,HAA,5,10.5,4.7
HAA 283S: Chinese Art: Han through Tang,fall,2014,HAA,6,8.0,5.0
HAA 289P: Sotatsu,fall,2014,HAA,5,6.0,5.0
HAA 310A: Methods and Theory of Art History,fall,2014,HAA,12,6.2,4.0
HAA 65: Baroque Art,fall,2014,HAA,45,5.1,3.1
HAA 98BR: Methods Tutorial,fall,2014,HAA,11,6.3,4.9
HBTM 235: Principles of Human Disease: Physiology and Pathology,fall,2014,HBTM,32,4.6,3.6
"HEB 1329: Sex, Love and War: The Evolution of Human Behavior",fall,2014,HEB,47,3.3,4.1
HEB 1351: Reproductive Ecology,fall,2014,HEB,11,5.4,4.3
HEB 1418: Endocrinology and Behavior: Research Seminar,fall,2014,HEB,8,3.0,4.6
HEB 1424: Human Health in Evolutionary and Anthropological Perspective,fall,2014,HEB,9,3.0,4.5
HEB 1434: Primate Behavior Lab,fall,2014,HEB,1,5.0,5.0
HEB 1463: Molecular Evolution of the Primates,fall,2014,HEB,3,7.5,4.5
HEB 1495: The Head,fall,2014,HEB,12,5.4,4.1
HEB 1590: Ancient Biomolecules,fall,2014,HEB,13,2.8,4.4
HEB 3200: Graduate Seminar in Human Evolutionary Biology,fall,2014,HEB,7,4.4,4.4
HEBREW 235: The Binding of Isaac (Aqedah): Seminar,fall,2014,HEBREW,5,3.0,4.3
HIND-URD 101: Introductory Hindi-Urdu,fall,2014,HIND-URD,15,9.7,4.8
HIND-URD 102: Intermediate Hindi-Urdu,fall,2014,HIND-URD,10,5.8,4.4
HIND-URD 103AR: Advanced Hindi-Urdu,fall,2014,HIND-URD,4,7.2,4.8
HIND-URD 105R: Topics in Hindi-Urdu Literature,fall,2014,HIND-URD,1,1.0,5.0
HIND-URD 91R: Hindi-Urdu Supervised Readings,fall,2014,HIND-URD,2,3.0,4.0
HIST 1010: History of the Prison,fall,2014,HIST,59,4.3,2.7
HIST 1011: The World of the Roman Empire,fall,2014,HIST,155,3.5,4.0
HIST 1015: From Ghana to Guantanamo: European and American Empires in the Long Nineteenth Century,fall,2014,HIST,14,3.3,4.8
HIST 1061: Civilization of the High Middle Ages,fall,2014,HIST,20,3.8,3.9
HIST 1133: The British Revolutions,fall,2014,HIST,12,3.7,4.4
"HIST 1206: Empire, Nation, and Immigration in France since 1870",fall,2014,HIST,6,6.2,4.3
HIST 1270: Frontiers of Europe: Ukraine since 1500,fall,2014,HIST,9,5.4,4.6
"HIST 1280: History of the Soviet Union, 1917-1991",fall,2014,HIST,29,5.2,4.2
"HIST 1323: German Social Thought, Nietzsche to Habermas",fall,2014,HIST,47,6.5,4.8
HIST 13B: The History of International Organizations,fall,2014,HIST,15,4.6,4.1
HIST 1434: American Public Life in the 20th Century,fall,2014,HIST,46,4.7,4.2
HIST 1445: Science and Religion in American History,fall,2014,HIST,170,4.2,3.6
HIST 1526: European Legal History,fall,2014,HIST,17,4.7,4.0
HIST 1602: China's Long 20th Century,fall,2014,HIST,31,5.0,4.5
HIST 1619: Premodern Vietnam,fall,2014,HIST,6,3.2,4.8
HIST 1620: Modern Vietnam,fall,2014,HIST,3,6.0,5.0
HIST 1700: The History of Sub-Saharan Africa to 1860,fall,2014,HIST,17,4.6,4.0
"HIST 1877: History of Middle East, 600-1055",fall,2014,HIST,16,4.1,3.9
HIST 1916: The History of Evidence,fall,2014,HIST,10,4.7,3.9
HIST 1926: How Historians Imagine Latin American Pasts,fall,2014,HIST,8,4.3,4.0
HIST 1990: Work and Working in Global Perspective,fall,2014,HIST,7,4.7,4.3
HIST 1992: Disease and Public Health in Modern East Asian History,fall,2014,HIST,6,9.4,4.6
HIST 1993: Introduction to Digital History,fall,2014,HIST,3,5.0,4.0
HIST 1997: The Political History of the Arab States Since Independence,fall,2014,HIST,14,4.6,3.8
HIST 2050: Medieval Societies and Cultures: Proseminar,fall,2014,HIST,8,12.5,4.7
HIST 2320HF: Foundations of Modern European Intellectual History: Seminar,fall,2014,HIST,6,14.0,5.0
HIST 2400: Readings in Colonial and Revolutionary America: Proseminar,fall,2014,HIST,18,7.1,4.0
HIST 2426: Topics in the History of Gender and Sexuality: Research Seminar,fall,2014,HIST,7,13.0,4.8
HIST 2463: Graduate Readings in 20th-Century African-American History: Seminar,fall,2014,HIST,8,11.5,5.0
HIST 2469HF: Multimedia History and Literature: New Directions in Scholarly Design: Seminar,fall,2014,HIST,7,4.3,4.2
HIST 2474: Law and Social Reform in 20th Century U.S. History: Seminar,fall,2014,HIST,8,9.0,4.4
HIST 2475: Legal History Workshop,fall,2014,HIST,3,4.0,5.0
HIST 2480HF: The Political Economy of Modern Capitalism: Seminar,fall,2014,HIST,15,6.0,4.5
HIST 2495: Politics and Social Movement in the 20th Century United States: Research Seminar,fall,2014,HIST,4,15.3,5.0
HIST 2886: Islamic Law and Society,fall,2014,HIST,7,13.3,4.2
HIST 2926: Empires Compared: Proseminar,fall,2014,HIST,18,8.0,4.5
HIST 2950HF: Approaches to Global History: Seminar,fall,2014,HIST,9,6.2,4.0
HIST 3900: Writing History: Approaches and Practices,fall,2014,HIST,28,7.4,3.8
HIST 3920HF: Colloquium on Teaching Practices,fall,2014,HIST,16,1.0,3.3
HIST 60H: Good Works: Charity and Philanthropy before the Modern Era,fall,2014,HIST,5,5.0,4.5
HIST 76G: Building the Modern Chinese Nation,fall,2014,HIST,10,5.3,4.4
HIST 80G: Travelers to Byzantium,fall,2014,HIST,12,5.0,4.4
HIST 82B: Fin-de-Siècle Vienna,fall,2014,HIST,14,6.0,4.9
HIST 82L: The French Revolution,fall,2014,HIST,7,6.9,4.6
HIST 83C: Care of the Soul,fall,2014,HIST,10,3.7,4.1
HIST 88B: Medieval History and Cinema,fall,2014,HIST,15,4.8,4.4
HIST 88D: Australia's Black History,fall,2014,HIST,2,4.5,5.0
HIST 89H: Henry Kissinger: Statecraft in Theory and Practice,fall,2014,HIST,18,7.2,5.0
HIST 99: Senior Thesis Tutorial,fall,2014,HIST,27,9.1,4.1
HIST-LIT 90AK: The Vietnam War in American Culture,fall,2014,HIST-LIT,14,7.1,4.9
HIST-LIT 90AY: Youth Protest in Europe,fall,2014,HIST-LIT,9,6.7,4.2
HIST-LIT 90AZ: The African American Great Migration,fall,2014,HIST-LIT,3,8.3,4.7
HIST-LIT 90BA: England After Empire,fall,2014,HIST-LIT,11,6.5,4.6
HIST-LIT 90BC: We the Readers: Reading Communities in Early America,fall,2014,HIST-LIT,18,5.2,4.4
HIST-LIT 90BD: Disability in America from the Civil War to the Present,fall,2014,HIST-LIT,2,4.0,5.0
HIST-LIT 90BE: Tropical Fantasies: The Hispanic Caribbean and Haiti in the Global Imaginary,fall,2014,HIST-LIT,9,4.3,4.1
HIST-LIT 90BH: Postcolonial Ireland,fall,2014,HIST-LIT,6,3.8,4.7
HIST-LIT 90BI: Whodunit: Detective Fiction in Victorian England,fall,2014,HIST-LIT,15,4.6,4.0
"HIST-LIT 90G: Charlemagne in History, Story, and Myth",fall,2014,HIST-LIT,1,,
HIST-LIT 90L: Stories of Slavery and Freedom,fall,2014,HIST-LIT,20,6.7,5.0
HISTSCI 100: Knowing the World: An Introduction to the History of Science,fall,2014,HISTSCI,109,4.4,3.9
"HISTSCI 108: Bodies, Sexualities, and Medicine in the Medieval Middle East",fall,2014,HISTSCI,42,4.3,3.7
HISTSCI 115: Instruments & Mechanical Marvels: The Material Culture of Science According to Simon Schaffer,fall,2014,HISTSCI,5,3.7,4.3
"HISTSCI 129V: Ether, Atoms, Particles, and Politics: The Physical Sciences in Modern Society",fall,2014,HISTSCI,3,4.0,4.5
HISTSCI 130: Heredity and Reproduction,fall,2014,HISTSCI,9,5.8,5.0
HISTSCI 134: Nature on Display,fall,2014,HISTSCI,12,2.9,5.0
"HISTSCI 166: What is Enlightenment?: Science, Religion, and the Making of Modernity",fall,2014,HISTSCI,2,3.0,4.0
"HISTSCI 167V: To Boldly Go: Science, Exploration, and Culture",fall,2014,HISTSCI,8,4.0,4.2
"HISTSCI 180: Science, Technology, and Society in Modern East Asia",fall,2014,HISTSCI,17,3.0,4.1
HISTSCI 200: Knowing the World: Studying the History of Science,fall,2014,HISTSCI,5,6.8,4.5
HISTSCI 206R: It's Only a Hypothesis,fall,2014,HISTSCI,4,3.5,4.7
"HISTSCI 209: Science, Religion and Culture: Debates, Methods and Controversies",fall,2014,HISTSCI,6,6.8,5.0
HISTSCI 235: Current Topics in the Social Study of the Life Sciences,fall,2014,HISTSCI,11,10.2,4.8
HISTSCI 240V: Classics in the History of Medicine: Seminar,fall,2014,HISTSCI,4,10.0,4.0
HISTSCI 247: Current Issues in the History of Medicine: Seminar,fall,2014,HISTSCI,12,8.1,4.9
HISTSCI 259: The History of the History of Science,fall,2014,HISTSCI,4,8.8,4.5
"HISTSCI 272: Big Data: Past, Present, Future",fall,2014,HISTSCI,14,4.9,4.7
"HISTSCI 285: Science, Power and Politics",fall,2014,HISTSCI,10,11.8,5.0
"HISTSCI 298V: Media, Method, and Practice",fall,2014,HISTSCI,5,5.0,4.0
HISTSCI 310HF: History of Science Salon,fall,2014,HISTSCI,7,0.0,5.0
"HISTSCI 320QC: Secrecy, Security, Surveillance",fall,2014,HISTSCI,9,10.0,4.7
HISTSCI 98: Tutorial - Junior Year,fall,2014,HISTSCI,29,7.9,3.8
HISTSCI 99A: Tutorial - Senior Year,fall,2014,HISTSCI,26,6.5,4.1
HLTHPOL 2000: Core Course in Health Policy,fall,2014,HLTHPOL,13,5.2,4.4
HUMAN 10A: The Humanities Colloquium: Essential Works 1,fall,2014,HUMAN,79,9.7,4.2
IMUIL 201: Principles of Immunology,fall,2014,IMUIL,14,7.7,3.7
IMUIL 301: Immunology Seminar,fall,2014,IMUIL,10,6.0,4.0
IMUIL 307QC: Cancer Immunology,fall,2014,IMUIL,11,2.3,3.7
IRISH 132: Introduction to Modern Irish,fall,2014,IRISH,3,4.0,4.7
IRISH 160R: Advanced Modern Irish,fall,2014,IRISH,2,3.0,5.0
IRISH 204R: Readings in Early Irish Poetry,fall,2014,IRISH,3,8.0,3.7
ISLAMCIV 146: al-Ghazali: Theologian and Mystic,fall,2014,ISLAMCIV,6,6.5,5.0
ISLAMCIV 171: Religion and Political Violence in North Africa and the Sahel,fall,2014,ISLAMCIV,8,6.2,3.4
"ISLAMCIV 178: Muslim Societies in South Asia: Religion, Culture, and Identity",fall,2014,ISLAMCIV,5,4.2,5.0
ITAL 132: Deconstructing Rome,fall,2014,ITAL,6,6.0,4.7
ITAL 30: Upper-Level Italian: Italian Through Art,fall,2014,ITAL,4,5.2,4.8
ITAL 40: Advanced Oral Expression and Performance,fall,2014,ITAL,6,6.0,4.2
ITAL 50: Advanced Written Expression: Italy in Other Words,fall,2014,ITAL,6,5.0,4.0
ITAL AA: Beginning Italian I: Pathways to Italy,fall,2014,ITAL,34,5.3,3.6
ITAL AB: Beginning Italian II: The Art and Craft of Italy,fall,2014,ITAL,6,7.0,4.6
ITAL C: Intermediate Italian: Romance! Mystery? Noir...,fall,2014,ITAL,13,3.9,3.6
JAPAN 106A: Classical Japanese,fall,2014,JAPAN,6,7.7,4.5
JAPAN 120A: Intermediate Japanese I,fall,2014,JAPAN,23,8.9,4.9
JAPAN 130A: Intermediate Japanese II,fall,2014,JAPAN,22,11.3,4.4
JAPAN 140A: Advanced Modern Japanese,fall,2014,JAPAN,13,12.3,4.1
JAPAN 150A: Readings and Discussion in Japanese Social Sciences,fall,2014,JAPAN,5,11.7,4.0
JAPAN 210A: Reading Scholarly Japanese for Students of Chinese and Korean,fall,2014,JAPAN,4,6.0,5.0
JAPAN BA: Elementary Japanese,fall,2014,JAPAN,63,8.4,4.8
JAPNHIST 270: Early Modern Japanese History: Proseminar,fall,2014,JAPNHIST,7,6.5,4.8
JAPNLIT 140: The Literature of Protest in Modern Japan,fall,2014,JAPNLIT,8,6.4,4.6
JAPNLIT 271: Topics in Gender and Culture in Japan: Seminar,fall,2014,JAPNLIT,7,10.4,4.4
KOREAN 120A: Intermediate Korean,fall,2014,KOREAN,19,5.5,4.9
KOREAN 130A: Pre-advanced Korean,fall,2014,KOREAN,11,6.1,4.0
KOREAN 140A: Advanced Korean,fall,2014,KOREAN,11,4.8,4.7
KOREAN 150A: Readings in Cultural Studies,fall,2014,KOREAN,5,4.7,5.0
KOREAN BA: Elementary Korean,fall,2014,KOREAN,26,5.2,4.4
KOREAN BXA: Elementary Korean for Advanced Beginners,fall,2014,KOREAN,6,3.5,5.0
KORHIST 253: Modern Korean History: Proseminar,fall,2014,KORHIST,9,9.0,4.6
"LAT-STD 70: Modernity, Culture and Politics in Latin America",fall,2014,LAT-STD,18,3.1,3.8
LATIN 104: Ovid's Metamorphoses,fall,2014,LATIN,14,6.5,4.6
LATIN 112A: History of Latin Literature I,fall,2014,LATIN,8,10.9,4.8
LATIN 121: Petronius and Apuleius,fall,2014,LATIN,7,8.2,4.6
LATIN 134: Archaic Latin,fall,2014,LATIN,12,2.8,4.7
LATIN AA: Beginning Latin,fall,2014,LATIN,35,7.0,4.3
LATIN AAB: Beginning Latin (Intensive),fall,2014,LATIN,5,6.7,4.7
LATIN AC: Review and Reading,fall,2014,LATIN,7,4.8,4.7
LATIN BA: Latin Prose Selections (Classical),fall,2014,LATIN,11,6.1,4.2
LATIN BAM: Latin Prose Selections (Late Antique and Medieval),fall,2014,LATIN,4,8.2,4.0
LIFESCI 100: Experimental Research in the Life Sciences,fall,2014,LIFESCI,23,7.2,4.6
"LIFESCI 1A: An Integrated Introduction to the Life Sciences: Chemistry, Molecular Biology, and Cell Biology",fall,2014,LIFESCI,485,5.5,4.0
LIFESCI 2: Evolutionary Human Physiology and Anatomy,fall,2014,LIFESCI,134,7.9,3.9
LING 105: Sounds of Language,fall,2014,LING,7,4.9,4.1
LING 106: Knowledge of Meaning,fall,2014,LING,7,2.8,3.8
LING 112: Syntactic Theory I,fall,2014,LING,5,8.3,4.8
LING 115: Phonological Theory I,fall,2014,LING,8,8.2,4.5
LING 116: Semantic Theory I,fall,2014,LING,5,5.3,4.5
LING 200: Second Language Acquisition,fall,2014,LING,12,4.2,4.0
LING 205R: The Syntax-Semantics Interface,fall,2014,LING,5,7.5,4.5
LING 225A: Introduction to Hittite,fall,2014,LING,7,5.6,4.2
LING 241R: Practicum in Linguistics,fall,2014,LING,8,1.8,4.3
LING 250: Old Church Slavonic,fall,2014,LING,6,8.0,4.5
"LING 83: Language, Structure, and Cognition",fall,2014,LING,41,3.6,4.2
LING 98A: Group Tutorial - Junior Year,fall,2014,LING,9,2.5,4.1
"LITER 121: From the 1001 Nights to the Arabian Nights: Adaptation, Transformation, Translation",fall,2014,LITER,9,4.3,5.0
LITER 138: Subversive Renaissance: Books that Changed the World,fall,2014,LITER,5,6.6,4.8
LITER 146: Space and Place: The Environment in Film,fall,2014,LITER,4,4.0,5.0
LITER 147: Why the Jews?: The Modern Jewish Experience in Literature,fall,2014,LITER,9,5.4,3.7
LITER 148: Crisis: Twentieth-Century European Novels,fall,2014,LITER,10,6.3,4.3
LITER 149: Writing the World: Literature and Its Theories,fall,2014,LITER,9,8.3,4.8
LITER 96: Grounds for Comparison,fall,2014,LITER,9,7.0,4.6
LPS A: Foundational Chemistry and Biology,fall,2014,LPS,159,6.6,3.7
MANCHU A: Elementary Manchu,fall,2014,MANCHU,4,4.7,4.7
"MATH 114: Analysis II: Measure, Integration and Banach Spaces",fall,2014,MATH,28,11.6,4.1
MATH 115: Methods of Analysis,fall,2014,MATH,5,5.2,4.8
MATH 121: Linear Algebra and Applications,fall,2014,MATH,25,8.6,2.6
MATH 122: Algebra I: Theory of Groups and Vector Spaces,fall,2014,MATH,72,7.9,4.7
MATH 124: Number Theory,fall,2014,MATH,32,7.0,4.4
MATH 131: Topology I: Topological Spaces and the Fundamental Group,fall,2014,MATH,22,7.9,4.6
MATH 136: Differential Geometry,fall,2014,MATH,4,19.0,4.0
MATH 141: Introduction to Mathematical Logic,fall,2014,MATH,9,3.8,4.0
MATH 145A: Set Theory I,fall,2014,MATH,3,6.5,4.7
MATH 152: Discrete Mathematics,fall,2014,MATH,15,6.7,4.6
MATH 18: Multivariable Calculus for Social Sciences,fall,2014,MATH,20,7.7,4.1
MATH 19A: Modeling and Differential Equations for the Life Sciences,fall,2014,MATH,32,7.9,3.0
MATH 1A: Introduction to Calculus,fall,2014,MATH,144,8.6,3.9
"MATH 1B: Calculus, Series, and Differential Equations",fall,2014,MATH,253,8.3,3.6
MATH 212A: Real Analysis,fall,2014,MATH,11,5.7,3.9
MATH 21A: Multivariable Calculus,fall,2014,MATH,325,7.9,3.7
MATH 21B: Linear Algebra and Differential Equations,fall,2014,MATH,97,9.4,4.1
MATH 221: Algebra,fall,2014,MATH,7,9.4,5.0
MATH 223A: Algebraic Number Theory,fall,2014,MATH,14,6.0,4.8
MATH 224: Representations of Reductive Lie Groups,fall,2014,MATH,13,8.0,5.0
MATH 229X: Introduction to Analytic Number Theory,fall,2014,MATH,14,3.7,4.9
MATH 230A: Differential Geometry,fall,2014,MATH,16,7.5,4.4
MATH 231A: Algebraic Topology,fall,2014,MATH,29,9.4,4.3
MATH 232A: Introduction to Algebraic Geometry I,fall,2014,MATH,13,10.7,2.9
MATH 233A: Theory of Schemes I,fall,2014,MATH,13,16.5,3.0
MATH 23A: Linear Algebra and Real Analysis I,fall,2014,MATH,82,12.3,3.2
MATH 250: Algebraic Invariants of Knots,fall,2014,MATH,27,1.5,4.3
MATH 258X: Random Matrix,fall,2014,MATH,20,8.5,4.7
MATH 25A: Honors Linear Algebra and Real Analysis I,fall,2014,MATH,59,15.5,4.4
MATH 263Y: Topics in Geometry and Physics: K-Theory,fall,2014,MATH,29,4.0,5.0
MATH 269: Topics in Kinetic Theory,fall,2014,MATH,11,,
MATH 281: Algebraic K-theory and Manifold Topology,fall,2014,MATH,34,0.0,5.0
MATH 55A: Honors Abstract Algebra,fall,2014,MATH,17,17.2,4.6
MATH 99R: Tutorial,fall,2014,MATH,8,2.5,4.4
MATH MA: Introduction to Functions and Calculus I,fall,2014,MATH,82,8.3,4.0
"MBB 980A: Conscious States: Waking, Sleeping, and Dreaming",fall,2014,MBB,6,5.0,4.5
"MBB 980F: Creativity Research: Madmen, Geniuses, and Harvard Students",fall,2014,MBB,10,2.8,4.5
MCB 101: Human Genetics,fall,2014,MCB,6,7.5,4.0
MCB 115: Cellular Basis of Neuronal Function,fall,2014,MCB,50,5.6,3.4
MCB 121: The Microbes,fall,2014,MCB,19,5.9,3.2
"MCB 129: The Brain: Development, Plasticity and Decline",fall,2014,MCB,19,4.4,4.5
MCB 169: Molecular and Cellular Immunology,fall,2014,MCB,55,4.3,4.6
MCB 176: Biochemistry of Membranes,fall,2014,MCB,8,4.2,4.4
MCB 208: Talking about Science,fall,2014,MCB,17,1.6,4.4
"MCB 290HFR: Current Topics in Molecular, Cellular and Organismal Biology",fall,2014,MCB,41,6.2,3.9
"MCB 291: Genetics, Genomics and Evolutionary Biology",fall,2014,MCB,15,7.6,3.6
"MCB 292: Cellular Biology, Neurobiology and Developmental Biology",fall,2014,MCB,16,14.3,4.6
"MCB 293: Biochemistry, Chemical and Structural Biology",fall,2014,MCB,16,23.7,3.4
MCB 294: Interesting Questions in Engineering and Physical Biology,fall,2014,MCB,9,1.5,3.4
MCB 52: Molecular Biology,fall,2014,MCB,33,5.6,4.3
MCB 60: Cellular Biology and Molecular Medicine,fall,2014,MCB,92,9.8,3.0
MCB 63: Biochemistry and Molecular Medicine,fall,2014,MCB,15,5.7,3.5
MCB 80: Neurobiology of Behavior,fall,2014,MCB,191,4.0,3.5
MED-SCI 300QC: Conduct of Science,fall,2014,MED-SCI,170,1.2,2.9
MED-SCI 302QC: Conduct of Science Refresher,fall,2014,MED-SCI,108,1.3,3.1
MEDVLSTD 107: Authority and Invention: Medieval Art and Architecture,fall,2014,MEDVLSTD,6,5.2,4.8
MEDVLSTD 202: Latin Palaeography and Manuscript Culture: Seminar,fall,2014,MEDVLSTD,3,2.5,4.5
MICROBI 214: Mechanisms of Bacterial Pathogenesis and Host Immune Response,fall,2014,MICROBI,8,8.7,4.4
MOD-HEB 120A: Intermediate Modern Hebrew I,fall,2014,MOD-HEB,6,7.2,5.0
MOD-HEB 130A: Advanced Modern Hebrew I,fall,2014,MOD-HEB,10,3.0,4.4
MOD-HEB B: Elementary Modern Hebrew,fall,2014,MOD-HEB,12,6.3,4.9
MODGRK 100: Advanced Modern Greek: Introduction to Modern Greek Literature,fall,2014,MODGRK,2,5.0,5.0
MODGRK 207: Topics in Modern Greek Studies,fall,2014,MODGRK,4,8.0,5.0
MODGRK A: Elementary Modern Greek,fall,2014,MODGRK,13,2.9,4.8
MODGRK B: Intermediate Modern Greek: Language and Civilization,fall,2014,MODGRK,2,7.0,4.0
MODMDEST 100: Approaches to Middle Eastern Studies,fall,2014,MODMDEST,29,3.4,3.6
MODMDEST 125: Culture and Society in Contemporary Israel,fall,2014,MODMDEST,10,3.9,4.7
MODMDEST 158A: Modern Arabic Literature Seminar: The Racialized Other in Arabian Peninsula Literature and Culture,fall,2014,MODMDEST,5,3.5,4.7
MODMDEST 200A: Approaches to Middle Eastern Studies,fall,2014,MODMDEST,12,6.3,4.2
"MUSIC 105R: Fundaments of Improvisation & Composition, Dance",fall,2014,MUSIC,9,1.9,5.0
MUSIC 10HFR: Harvard-Radcliffe Orchestra,fall,2014,MUSIC,67,2.7,4.3
MUSIC 12HFR: The Harvard Dance Project,fall,2014,MUSIC,5,3.0,5.0
MUSIC 14HFR: Harvard-Radcliffe Collegium Musicum,fall,2014,MUSIC,25,2.8,4.8
MUSIC 150A: Theory IIa,fall,2014,MUSIC,22,6.0,3.6
MUSIC 152: Post-Tonal Analysis,fall,2014,MUSIC,7,4.0,4.6
